timestamp,temp1_black_evap_coil_side,temp2_tcouple_evap_coil_center,temp3_tcouple_by_fan,stemp1_ambient_room,shumid1_ambient_room,stemp2_outlet,shumid2_outlet,stemp3_inlet,shumid3_inlet
1777999597,20.00,22.50,20.25,22.54,41.27,25.22,36.34,23.02,43.75
1777999598,20.00,22.75,19.75,22.79,41.32,25.26,36.56,22.48,43.50
1777999600,20.00,22.50,20.50,22.73,41.32,25.07,36.67,23.00,43.47
1777999601,19.94,22.50,19.75,22.72,41.31,24.93,36.83,23.02,43.41
1777999603,19.94,22.50,20.00,22.60,41.28,24.83,36.98,23.15,43.35
1777999605,19.87,22.50,19.50,22.68,41.26,24.81,37.10,23.01,43.17
1777999606,19.94,22.25,19.75,22.65,41.24,24.84,37.30,22.91,43.02
1777999608,19.94,22.75,19.50,22.72,41.22,24.65,37.39,23.37,43.02
1777999609,19.87,22.75,19.50,22.75,41.20,24.71,37.50,24.03,43.07
1777999611,19.87,22.50,19.25,22.64,41.17,24.56,37.54,23.11,42.82
1777999613,19.81,22.50,19.00,22.53,41.12,24.55,37.65,23.30,42.75
1777999614,19.87,22.75,19.25,22.61,41.11,24.45,37.71,22.75,42.60
1777999616,19.81,22.50,18.75,22.61,41.10,24.44,37.83,22.29,42.55
1777999617,19.81,22.50,18.75,22.72,41.07,24.31,37.94,23.88,42.89
1777999619,19.81,22.25,18.50,22.59,41.04,24.23,38.08,23.95,42.95
1777999621,19.75,22.00,18.25,22.66,41.03,24.28,38.37,23.20,42.95
1777999622,19.75,22.25,18.25,22.61,41.01,24.20,38.46,23.43,43.09
1777999624,19.75,22.00,17.75,22.75,41.01,24.02,38.52,23.39,43.13
1777999625,19.69,22.00,17.75,22.67,40.98,24.04,38.68,22.86,43.10
1777999627,19.62,22.00,18.00,22.74,40.97,23.99,38.66,22.55,43.17
1777999629,19.62,22.00,17.25,22.62,40.93,23.87,38.67,22.84,43.23
1777999630,19.56,21.75,16.75,22.70,40.92,23.77,38.77,23.36,43.29
1777999632,19.50,21.75,17.00,22.81,40.94,23.73,38.87,22.88,43.24
1777999633,19.37,21.75,16.75,22.72,40.92,23.66,38.91,23.70,43.34
1777999635,19.31,22.00,16.75,22.53,40.87,23.56,38.95,23.49,43.23
1777999637,19.19,21.50,17.00,22.50,40.83,23.58,38.98,23.74,43.15
1777999638,19.00,21.00,16.25,22.63,40.82,23.44,38.99,23.69,43.06
1777999640,18.87,21.50,17.00,22.66,40.82,23.34,39.06,23.24,43.03
1777999642,18.75,21.50,17.25,22.70,40.81,23.45,39.17,22.82,42.94
1777999643,18.56,21.25,16.75,22.54,40.78,23.40,39.32,22.79,42.84
1777999645,18.44,21.25,16.75,22.64,40.79,23.31,39.44,22.77,42.71
1777999646,18.31,21.25,16.75,22.73,40.80,23.26,39.54,22.77,42.58
1777999648,18.19,21.50,17.25,22.58,40.77,23.23,39.64,23.19,42.54
1777999650,18.00,21.75,17.00,22.50,40.76,23.16,39.76,22.44,42.35
1777999651,17.87,21.25,16.75,22.49,40.78,23.13,39.90,22.78,42.40
1777999653,17.75,20.50,17.00,22.62,40.79,23.07,40.01,23.36,42.47
1777999654,17.56,20.50,16.50,22.62,40.80,23.01,40.13,22.63,42.34
1777999656,17.44,20.75,15.75,22.74,40.82,23.05,40.26,22.47,42.28
1777999658,17.31,21.00,16.50,22.84,40.83,23.02,40.36,22.65,42.32
1777999659,17.12,21.25,16.50,22.67,40.82,22.94,40.47,22.91,42.38
1777999661,16.94,20.75,16.25,22.74,40.83,22.81,40.53,22.92,42.37
1777999662,16.87,21.00,16.25,22.79,40.83,22.69,40.61,23.13,42.41
1777999664,16.69,21.00,16.25,22.65,40.80,22.75,40.72,22.55,42.35
1777999666,16.56,21.00,16.00,22.70,40.81,22.70,40.82,22.55,42.38
1777999667,16.44,20.75,15.50,22.56,40.77,22.68,40.90,23.34,42.50
1777999669,16.31,20.75,15.75,22.52,40.77,22.60,40.93,23.19,42.47
1777999670,16.19,20.50,15.50,22.60,40.77,22.44,40.96,22.56,42.33
1777999672,16.06,20.75,15.25,22.38,40.72,22.53,41.03,22.55,42.26
1777999674,15.94,21.00,15.25,22.43,40.73,22.41,41.04,23.11,42.29
1777999675,15.81,21.00,15.50,22.47,40.71,22.34,41.09,23.03,42.26
1777999677,15.69,20.75,15.25,22.70,40.74,22.41,41.18,23.06,42.24
1777999678,15.56,20.75,15.25,22.45,40.72,22.33,41.26,22.66,42.14
1777999680,15.44,20.00,14.75,22.62,40.72,22.16,41.34,23.03,42.19
1777999682,15.38,20.50,14.75,22.56,40.71,22.16,41.46,22.66,42.20
1777999683,15.25,20.50,14.75,22.76,40.73,22.21,41.55,22.48,42.21
1777999685,15.06,20.50,14.50,22.54,40.70,22.04,41.64,22.91,42.29
1777999687,15.00,20.50,14.50,22.46,40.69,22.08,41.73,22.65,42.21
1777999688,14.88,20.25,14.50,22.52,40.70,22.04,41.79,22.75,42.17
1777999690,14.81,20.50,14.50,22.38,40.65,22.04,41.85,22.36,42.09
1777999691,14.69,20.50,14.50,22.50,40.68,21.88,41.88,23.13,42.19
1777999693,14.50,20.25,14.25,22.66,40.68,21.85,41.95,22.66,42.15
1777999695,14.38,20.25,14.25,22.73,40.70,21.88,42.06,22.77,42.18
1777999696,14.31,20.00,14.00,22.48,40.64,21.79,42.18,22.40,42.11
1777999698,14.19,20.25,14.25,22.55,40.68,21.72,42.27,22.12,42.06
1777999699,14.06,19.75,14.00,22.35,40.64,21.68,42.37,23.12,42.20
1777999701,13.94,20.25,14.25,22.38,40.65,21.69,42.45,22.80,42.17
1777999703,13.75,20.50,13.75,22.56,40.70,21.51,42.53,22.21,42.08
1777999704,13.63,19.75,14.00,22.35,40.67,21.52,42.64,22.53,42.12
1777999706,13.44,19.50,13.50,22.46,40.71,21.55,42.73,22.72,42.15
1777999707,13.25,19.50,13.00,22.60,40.72,21.48,42.79,23.58,42.23
1777999709,13.06,19.75,13.00,22.20,40.64,21.39,42.82,22.38,41.99
1777999711,12.88,20.00,13.50,22.33,40.67,21.35,42.85,22.24,41.92
1777999712,12.69,19.25,13.50,22.44,40.67,21.38,42.91,22.27,41.92
1777999714,12.44,19.25,13.00,22.36,40.66,21.25,43.01,22.60,42.09
1777999715,12.25,19.25,13.00,22.51,40.67,21.19,43.05,22.48,42.29
1777999717,12.00,19.25,13.25,22.22,40.60,21.19,43.12,22.51,42.56
1777999719,11.81,19.50,13.25,22.55,40.64,21.23,43.23,22.45,42.68
1777999720,11.56,19.75,13.00,22.37,40.60,21.09,43.34,22.57,42.93
1777999722,11.44,18.75,12.75,22.80,40.66,21.05,43.49,22.27,43.39
1777999723,11.25,18.50,12.50,22.66,40.65,21.09,43.52,22.65,43.49
1777999725,11.00,18.25,13.00,22.55,40.64,20.91,43.40,22.93,43.43
1777999727,10.88,18.00,12.75,22.38,40.60,20.93,43.29,22.26,43.12
1777999728,10.69,17.50,12.50,22.57,40.61,20.83,43.21,22.75,43.02
1777999730,10.56,17.50,12.00,22.65,40.62,20.76,43.18,22.40,42.94
1777999732,10.38,17.25,12.00,22.40,40.57,20.83,43.17,22.53,42.93
1777999733,10.25,17.00,12.25,22.61,40.58,20.76,43.10,22.68,42.93
1777999735,10.19,16.75,12.00,22.41,40.54,20.62,42.99,22.12,42.73
1777999736,10.06,17.00,11.75,22.37,40.53,20.60,42.97,22.62,42.72
1777999738,9.88,16.50,11.25,22.53,40.55,20.51,42.95,22.38,42.60
1777999740,9.75,16.75,11.25,22.39,40.50,20.40,43.03,22.52,42.65
1777999741,9.63,16.25,11.50,22.48,40.50,20.42,43.18,22.35,42.78
1777999743,9.50,16.25,11.50,22.48,40.45,20.35,43.24,22.16,42.80
1777999744,9.38,16.75,11.25,22.58,40.43,20.25,43.24,22.25,42.75
1777999746,9.31,16.25,11.00,22.57,40.41,20.26,43.32,22.47,42.71
1777999748,9.19,15.50,11.00,22.03,40.33,20.27,43.39,22.55,42.69
1777999749,9.13,15.75,11.00,22.39,40.35,20.16,43.42,22.23,42.62
1777999751,9.06,15.25,10.50,22.12,40.31,20.06,43.45,22.24,42.57
1777999752,9.00,14.50,11.00,22.37,40.36,19.95,43.47,21.97,42.43
1777999754,8.88,14.25,11.00,22.37,40.38,19.93,43.51,22.44,42.38
1777999756,8.81,14.00,11.00,22.32,40.40,19.97,43.58,22.47,42.31
1777999757,8.75,13.25,10.75,22.30,40.38,19.79,43.62,22.75,42.35
1777999759,8.75,12.50,10.75,22.32,40.40,19.80,43.71,22.77,42.38
1777999760,8.69,11.75,10.75,22.27,40.38,19.76,43.83,22.66,42.39
1777999762,8.63,11.75,10.25,22.41,40.37,19.68,43.92,22.27,42.35
1777999764,8.63,13.00,11.00,22.19,40.32,19.63,44.00,22.62,42.33
1777999765,8.56,13.25,10.75,22.08,40.28,19.62,44.07,22.70,42.24
1777999767,8.56,12.75,10.25,22.38,40.31,19.47,44.12,22.70,42.10
1777999769,8.50,12.25,10.50,22.46,40.33,19.61,44.24,22.62,42.00
1777999770,8.44,12.75,10.50,22.18,40.31,19.38,44.28,22.76,41.97
1777999772,8.44,12.75,10.25,22.09,40.31,19.37,44.35,22.54,42.00
1777999773,8.38,12.00,10.50,22.16,40.34,19.31,44.42,22.18,42.04
1777999775,8.38,12.50,10.50,22.12,40.34,19.33,44.52,22.12,42.11
1777999777,8.38,12.25,10.50,22.48,40.41,19.23,44.63,21.84,42.07
1777999778,8.31,11.25,10.50,22.58,40.45,19.23,44.73,22.49,42.16
1777999780,8.31,11.50,9.75,22.34,40.43,19.12,44.80,22.35,42.11
1777999781,8.44,11.75,10.00,22.15,40.41,19.01,44.96,22.18,42.08
1777999783,8.38,12.25,10.00,22.24,40.46,18.94,45.06,22.32,42.06
1777999785,8.38,11.50,9.75,22.23,40.49,18.91,45.26,22.03,41.96
1777999786,8.38,11.75,9.75,22.34,40.57,18.86,45.38,21.86,41.95
1777999788,8.38,11.50,9.75,22.01,40.56,18.82,45.43,22.38,42.12
1777999789,8.38,11.50,9.25,22.46,40.67,18.73,45.42,22.21,42.19
1777999791,8.38,11.25,9.25,22.14,40.72,18.59,45.41,22.38,42.35
1777999793,8.31,12.50,9.50,22.19,40.82,18.70,45.42,22.24,42.38
1777999794,8.31,12.75,9.50,22.08,40.88,18.75,45.52,22.38,42.41
1777999796,8.25,12.25,9.50,21.96,40.90,18.54,45.71,22.12,42.42
1777999797,8.31,12.25,9.50,22.16,40.90,18.44,46.00,22.16,42.77
1777999799,8.31,12.00,9.75,22.12,40.85,18.48,46.26,21.98,43.15
1777999801,8.31,12.50,9.25,22.04,40.77,18.30,46.43,22.38,43.36
1777999802,8.31,12.00,9.25,22.08,40.76,18.29,46.66,21.91,43.29
1777999804,8.31,12.00,9.75,22.16,40.79,18.31,46.86,22.20,43.27
1777999805,8.31,12.50,9.50,21.96,40.75,18.19,47.03,21.86,43.07
1777999807,8.31,11.50,9.50,22.02,40.75,18.16,47.21,22.17,42.96
1777999809,8.31,12.00,9.00,22.03,40.76,18.16,47.41,22.15,42.87
1777999810,8.38,12.25,9.75,21.92,40.73,18.05,47.63,21.55,42.70
1777999812,8.38,12.75,9.50,22.23,40.79,18.07,47.82,21.83,42.68
1777999813,8.38,12.00,9.00,21.95,40.74,18.16,48.05,21.34,42.58
1777999815,8.38,12.25,9.50,22.48,40.88,18.06,48.22,21.61,42.57
1777999817,8.44,12.50,9.25,21.99,40.81,18.05,48.39,22.01,42.57
1777999818,8.50,12.00,9.00,21.95,40.83,18.08,48.60,22.20,42.56
1777999820,8.44,12.00,9.50,21.87,40.85,17.96,48.71,21.69,42.54
1777999822,8.50,12.00,9.75,21.90,40.89,17.79,48.80,21.78,42.62
1777999823,8.56,12.25,9.50,21.83,40.93,17.76,48.89,21.68,42.60
1777999825,8.56,12.00,9.50,21.95,40.96,17.69,49.03,21.79,42.61
1777999826,8.56,12.00,9.50,21.88,40.96,17.69,49.14,22.13,42.64
1777999828,8.63,12.50,9.25,21.91,40.97,17.67,49.23,21.46,42.53
1777999830,8.63,12.25,9.50,21.76,40.98,17.61,49.28,21.44,42.49
1777999831,8.63,12.25,9.25,21.97,41.04,17.66,49.37,21.52,42.52
1777999833,8.63,12.00,9.25,21.86,41.04,17.55,49.46,21.55,42.62
1777999834,8.69,12.00,9.25,21.70,41.06,17.45,49.50,21.52,42.85
1777999836,8.75,12.75,9.25,21.84,41.08,17.46,49.58,22.21,43.21
1777999838,8.69,12.00,9.25,21.95,41.12,17.48,49.71,21.35,43.28
1777999839,8.69,12.00,9.25,21.89,41.16,17.45,49.83,22.08,43.56
