timestamp,temp1_black_evap_coil_side,temp2_tcouple_evap_coil_center,temp3_tcouple_by_fan,stemp1_ambient_room,shumid1_ambient_room,stemp2_outlet,shumid2_outlet,stemp3_inlet,shumid3_inlet
1778007578,12.06,11.50,13.00,21.36,47.75,19.48,61.94,23.60,89.32
1778007580,11.56,11.25,12.75,21.15,47.46,19.43,61.10,23.52,89.56
1778007582,11.13,10.75,12.25,21.27,47.19,19.26,60.25,23.71,89.92
1778007583,10.69,11.25,12.00,21.07,46.87,19.31,59.58,23.30,90.21
1778007585,10.31,11.75,12.00,21.13,46.61,19.22,58.90,23.52,90.69
1778007586,10.00,11.50,11.50,21.17,46.37,19.16,58.21,23.53,91.23
1778007588,9.75,12.00,11.75,21.40,46.21,19.23,57.60,23.11,91.84
1778007590,9.50,12.00,11.75,21.54,46.02,19.14,56.98,23.52,92.57
1778007591,9.38,12.25,11.25,21.34,45.81,19.13,56.35,22.41,93.26
1778007593,9.19,12.25,10.50,21.16,45.61,18.94,55.72,22.60,94.36
1778007594,9.06,12.25,10.50,21.17,45.46,18.88,55.19,21.91,95.19
1778007596,8.94,12.50,11.00,21.16,45.35,18.90,54.74,22.72,95.91
1778007598,8.94,12.50,11.00,21.14,45.22,18.66,54.28,22.46,95.31
1778007599,8.81,12.50,10.75,21.52,45.17,18.76,53.89,22.26,94.07
1778007601,8.75,12.25,10.75,21.34,45.04,18.56,53.47,22.02,92.25
1778007603,8.75,12.50,10.25,21.09,44.95,18.42,53.09,21.86,90.38
1778007604,8.75,12.25,10.50,21.62,44.93,18.35,52.78,21.97,88.71
1778007606,8.69,12.50,10.25,21.13,44.78,18.28,52.53,21.67,87.18
1778007607,8.63,12.50,10.50,21.30,44.76,18.40,52.34,21.52,85.64
1778007609,8.63,12.50,10.25,21.23,44.67,18.35,52.26,21.91,84.55
1778007611,8.56,12.25,10.25,21.60,44.65,18.29,52.15,21.98,83.54
1778007612,8.56,12.75,9.75,21.30,44.55,18.24,52.08,21.66,82.32
1778007614,8.56,12.25,10.00,21.21,44.48,18.24,52.06,21.10,81.09
1778007615,8.56,12.25,9.75,21.48,44.51,18.16,52.05,21.55,79.85
1778007617,8.56,11.75,10.00,21.51,44.48,18.08,52.08,21.16,78.06
1778007619,8.50,11.75,10.00,21.44,44.43,18.01,52.10,21.08,76.46
1778007620,8.50,12.25,10.00,21.33,44.37,18.01,52.16,21.29,75.03
1778007622,8.50,12.00,10.25,21.30,44.33,17.84,52.18,20.96,73.54
1778007623,8.44,12.00,10.25,21.52,44.35,17.76,52.27,20.70,72.09
1778007625,8.44,12.25,10.00,21.44,44.33,17.73,52.40,21.12,71.25
1778007627,8.38,12.00,10.25,21.29,44.29,17.72,52.50,20.97,70.25
1778007628,8.44,11.50,9.25,21.19,44.26,17.79,52.65,20.36,69.42
1778007630,8.44,12.25,10.00,21.12,44.23,17.68,52.78,20.72,68.68
1778007631,8.44,12.00,10.25,21.20,44.23,17.53,52.87,20.91,67.75
1778007633,8.44,12.25,10.25,21.15,44.20,17.58,53.01,20.75,66.69
1778007635,8.44,12.00,9.50,21.76,44.27,17.54,53.12,20.27,65.54
1778007636,8.44,12.00,10.00,21.25,44.17,17.52,53.21,20.67,64.75
1778007638,8.44,12.00,9.75,21.21,44.14,17.42,53.28,20.59,64.12
1778007639,8.44,11.75,10.00,21.54,44.17,17.39,53.37,20.24,63.52
1778007641,8.38,12.00,9.50,21.30,44.12,17.49,53.46,20.50,63.05
1778007643,8.38,12.00,9.50,21.40,44.12,17.43,53.58,20.16,62.59
1778007644,8.44,12.50,10.00,21.54,44.13,17.36,53.65,20.36,62.21
1778007646,8.38,12.25,9.75,21.25,44.07,17.23,53.70,20.13,61.83
1778007647,8.31,12.25,9.25,21.50,44.10,17.26,53.80,19.98,62.03
1778007649,8.38,11.50,9.50,21.35,44.04,17.23,53.86,20.33,62.15
1778007651,8.38,12.00,9.50,21.45,44.02,17.15,53.94,20.09,62.16
1778007652,8.38,12.25,10.00,21.41,44.00,17.13,54.04,19.96,62.07
1778007654,8.38,11.75,9.75,21.26,43.96,17.19,54.13,20.66,61.93
1778007655,8.38,12.00,9.50,21.73,44.01,17.09,54.17,20.00,61.74
1778007657,8.31,12.25,9.75,21.69,43.96,17.08,54.23,20.44,61.77
1778007659,8.31,11.75,9.50,21.22,43.87,17.37,54.37,20.27,61.56
1778007660,8.31,11.50,9.75,21.54,43.91,17.07,54.38,20.03,60.90
1778007662,8.31,11.50,9.75,21.41,43.88,16.93,54.42,20.12,60.15
1778007664,8.38,12.00,9.75,21.45,43.89,17.02,54.51,20.31,59.53
1778007665,8.38,11.50,9.75,21.41,43.89,16.93,54.58,20.19,58.85
1778007667,8.38,12.25,9.50,21.30,43.88,16.76,54.61,20.42,58.29
1778007668,8.38,12.00,9.50,21.36,43.87,16.87,54.73,19.83,57.95
1778007670,8.31,12.00,9.50,21.54,43.88,16.86,54.82,20.14,58.25
1778007672,8.38,12.00,9.50,21.73,43.89,16.81,54.88,20.16,58.21
1778007673,8.38,11.75,9.00,21.27,43.82,16.84,54.98,19.84,57.77
1778007675,8.44,12.25,9.50,21.18,43.81,16.79,55.08,19.73,57.18
1778007676,8.38,11.75,9.75,21.68,43.89,16.82,55.16,20.30,56.78
1778007678,8.38,12.50,9.75,21.64,43.88,16.84,55.23,20.38,56.34
1778007680,8.38,12.00,9.50,21.25,43.82,16.67,55.26,20.07,55.92
1778007681,8.31,11.75,9.50,21.74,43.91,16.79,55.32,20.24,55.61
1778007683,8.31,11.75,9.75,21.44,43.85,16.66,55.39,20.26,55.33
1778007684,8.31,12.00,9.75,21.45,43.85,16.72,55.47,20.13,55.22
1778007686,8.38,12.00,9.50,21.60,43.87,16.72,55.52,20.08,55.42
1778007688,8.38,12.25,9.50,21.20,43.81,16.78,55.57,20.08,55.62
1778007689,8.38,12.00,9.25,21.45,43.85,16.72,55.60,20.22,55.69
1778007691,8.38,12.00,10.00,21.51,43.86,16.66,55.65,20.16,55.54
1778007692,8.38,12.25,9.50,21.41,43.85,16.76,55.72,20.29,55.46
1778007694,8.38,12.00,9.50,21.23,43.83,16.59,55.76,19.77,55.10
1778007696,8.38,12.00,9.50,21.50,43.88,16.64,55.85,20.27,54.82
1778007697,8.31,12.50,9.75,21.18,43.82,16.58,55.91,20.56,54.46
1778007699,8.38,12.25,10.00,21.31,43.83,16.57,55.95,20.48,54.22
1778007700,8.44,12.25,9.75,21.50,43.87,16.60,56.03,20.31,54.12
1778007702,8.38,12.25,9.75,21.68,43.89,16.47,56.09,20.98,54.13
1778007704,8.38,12.00,9.50,21.31,43.83,16.48,56.16,20.24,53.83
1778007705,8.38,12.25,9.75,21.17,43.80,16.62,56.24,20.17,53.57
1778007707,8.31,11.50,9.75,21.41,43.83,16.51,56.25,20.09,53.47
1778007708,8.38,12.00,9.50,21.26,43.80,16.47,56.31,20.33,53.32
1778007710,8.38,12.00,9.50,21.22,43.79,16.47,56.35,20.58,53.22
1778007712,8.38,12.00,9.75,21.59,43.87,16.42,56.39,20.46,53.06
1778007713,8.31,11.75,10.25,21.45,43.88,16.49,56.43,20.30,53.46
1778007715,8.31,11.75,9.50,21.17,43.84,16.47,56.48,20.17,54.42
1778007717,8.31,12.00,9.50,21.45,43.92,16.44,56.52,20.52,55.55
1778007718,8.38,12.25,10.00,21.36,43.91,16.48,56.55,20.35,56.18
1778007720,8.38,11.75,9.75,21.40,43.94,16.50,56.57,20.26,56.47
1778007721,8.31,12.00,10.00,21.22,43.89,16.37,56.57,20.18,56.78
1778007723,8.38,11.75,9.50,21.40,43.89,16.40,56.59,20.19,56.93
1778007725,8.38,11.50,10.00,21.30,43.88,16.46,56.64,20.37,56.53
1778007726,8.31,11.75,9.75,21.36,43.87,16.47,56.68,20.16,55.84
1778007728,8.31,11.75,9.50,21.72,43.92,16.37,56.70,20.61,55.25
1778007729,8.38,12.25,9.75,21.30,43.86,16.37,56.73,19.91,54.46
1778007731,8.31,11.75,9.50,21.45,43.87,16.42,56.76,20.20,54.00
1778007733,8.31,12.00,10.25,21.29,43.85,16.44,56.79,20.12,53.48
1778007734,8.38,12.25,10.00,21.50,43.89,16.32,56.78,19.97,52.99
1778007736,8.31,11.75,10.00,21.35,43.90,16.53,56.84,20.52,52.70
1778007737,8.38,11.75,10.00,21.16,43.91,16.26,56.82,20.25,52.33
1778007739,8.44,12.00,10.00,21.54,43.98,16.33,56.87,20.31,52.05
1778007741,8.38,12.25,9.75,21.40,43.95,16.33,56.90,20.35,51.77
1778007742,8.44,12.25,9.75,21.30,43.94,16.14,56.89,20.11,51.50
1778007744,8.44,12.00,10.00,21.25,43.95,16.20,56.92,20.36,51.35
1778007745,8.50,11.75,10.25,21.30,43.97,16.31,56.96,20.37,51.19
1778007747,8.50,11.75,9.75,21.41,44.01,16.27,57.00,20.28,51.03
